ID,vehicalNo,driverName,phone,vehicalType,assignedDate,unassignedDate,plotNo_plot_NO
f5b4b3e2-8e9b-4d3a-9e77-6d1f5db4cb84,KA01AB1234,John Doe,9876543210,inward,2024-07-14T09:45:00,2024-07-15T12:45:00,AB012A
d85eac2b-3f6f-4e3b-8b9d-1d72b67d6c7b,KA02CD5678,Jane Smith,8765432109,outward,2024-07-14T10:00:00,2024-07-16T14:00:00,AB012B
63ae6f43-6a77-4d5a-9020-8e2c6a5e5e8e,KA03EF9012,Bob Johnson,7654321098,inward,2024-07-15T11:30:00,2024-07-17T11:30:00,AB012C
5beaa36b-1e84-4de4-962b-5e2e4d7a6b5d,KA04GH3456,Alice Brown,6543210987,outward,2024-07-15T12:00:00,2024-07-17T15:00:00,AB012D
cf8b78f6-7e72-43c3-a7ef-8d2e6a7e5c6c,KA05IJ7890,Charlie White,5432109876,inward,2024-07-15T13:00:00,2024-07-16T13:00:00,AB012E
1f6e8b6c-8f4e-4e2b-9f73-9e2d5f7e7e5e,KA06KL1234,David Black,4321098765,outward,2024-07-16T09:30:00,2024-07-17T12:30:00,AB012F
b8f7e5d4-8a3e-4c3d-9e2b-7d6a8e7d6d5d,KA07MN5678,Eva Green,3210987654,inward,2024-07-16T10:15:00,2024-07-17T11:15:00,AB012G
3e7b6c8a-6e5d-4f4e-9b2c-7e6d8f7c5b5a,KA08OP9012,Frank Brown,2109876543,outward,2024-07-16T11:45:00,2024-07-17T14:45:00,AB012H
8e7f5c6d-7b4c-4f6e-8e3b-6e7a8d5d6f5a,KA09QR3456,Grace White,1098765432,inward,2024-07-14T14:00:00,2024-07-15T16:00:00,AB012I
2b7d8e9a-6f5e-4b3d-8e6a-7d8e5a6f7c5a,KA10ST7890,Hank Green,9876543211,outward,2024-07-15T10:30:00,2024-07-16T13:30:00,AB012J
6e8f7c4b-5a6e-4f4d-9e7a-7d6e8c5d7a5a,KA11UV1234,Ian Black,8765432108,inward,2024-07-14T08:45:00,2024-07-15T09:45:00,AB012K
e5f6b7a8-7e4d-4b3c-9e7a-8d7e6a5f8c6a,KA12WX5678,Jill Brown,7654321097,outward,2024-07-15T14:15:00,2024-07-16T16:15:00,AB012L
4c5b7d8e-8f5e-4c3b-9e7a-9d7f6b5e7d5a,KA13YZ9012,Ken White,6543210986,inward,2024-07-16T12:30:00,2024-07-17T13:30:00,AB012M
6d8f7c5e-6a4e-4f6d-9e8a-8e7d6a5f7b5a,KA14AB3456,Lisa Green,5432109875,outward,2024-07-14T11:15:00,2024-07-15T14:15:00,AB012N
7e6b8f5d-7c4e-4f5a-9e7a-8e6d5b6f8c5a,KA15CD7890,Mark Brown,4321098764,inward,2024-07-15T09:30:00,2024-07-16T11:30:00,AB012O
3c8d7e6b-5f4a-4e6d-8e7a-9e7d6a5f9c5a,KA16EF1234,Nina White,3210987653,outward,2024-07-16T13:00:00,2024-07-17T15:00:00,AB012P
e7b6c8f5-7d4e-4c6d-9e8a-8e6f7a5b8c5a,KA17GH5678,Omar Green,2109876542,inward,2024-07-14T07:45:00,2024-07-15T10:45:00,AB012Q
d8f5e6b7-8a3d-4f5e-9b6a-9e8d7c5f8b5a,KA18IJ9012,Paul Brown,1098765431,outward,2024-07-15T13:30:00,2024-07-16T16:30:00,AB012R
9f5e7c8a-6d4e-4f6b-9e7a-8e7f5a6b7c5a,KA19KL3456,Quinn White,9876543212,inward,2024-07-16T08:00:00,2024-07-17T10:00:00,AB012S
8e7b6f5d-7c4a-4e5d-9e7a-8d7e5c6a9b5a,KA20MN7890,Rita Green,8765432107,outward,2024-07-14T12:30:00,2024-07-15T15:30:00,AB012T
5e6b8c7d-8a5f-4d3e-9e8a-8e7d5b6f8c5a,KA21OP1234,Sam Brown,7654321096,inward,2024-07-15T07:30:00,2024-07-16T09:30:00,AB012A
6f7b8e6d-6f4e-4f5a-9e7a-8e6d7a5f9b5a,KA22QR5678,Tina White,6543210985,outward,2024-07-16T10:45:00,2024-07-17T13:45:00,AB012B
7c5e8d7b-7f4a-4e6d-8e7a-9e7f6b5d8c5a,KA23ST9012,Uma Green,5432109874,inward,2024-07-23T09:00:00,2024-07-15T12:00:00,AB012C
